category,products,estimated_revenue,average_discounted_price,average_rating,review_count
Electronics,490,59179753425.0,5965.88783269962,4.081749049429658,15778848.0
Computers&Accessories,373,6354568947.47,845.3938359201774,4.155654101995566,7728689.0
Home&Kitchen,447,6262253967.8,2331.133803131991,4.040715883668904,2990077.0
MusicalInstruments,2,64458076.0,638.0,3.9,88882.0
OfficeProducts,31,45786730.0,301.5806451612903,4.309677419354839,149675.0
Health&PersonalCare,1,3293037.0,899.0,4.0,3663.0
Car&Motorbike,1,2615002.0,2339.0,3.8,1118.0
HomeImprovement,2,2587190.0,337.0,4.25,8566.0
Toys&Games,1,2380050.0,150.0,4.3,15867.0
